ID,C1
96896,4.3
96175,2.4
95345,3.5
65995,3.1
107805,4.0
84048,3.1
73700,2.2
84569,5.0
97711,2.4
109972,2.5
98957,4.1
106937,4.8
111445,4.6
97412,3.9
94195,1.8
118689,3.2
110886,4.9
68005,2.0
96970,3.8
90187,4.9
93524,5.0
94356,2.4
92342,5.0
95804,5.0
95719,4.6
36483,0.0
95813,4.5
89898,4.6
57996,2.4
71648,4.9
70097,2.5
